1,3.84,Current,Percentage,,,,100,3.84
505,3.31,64.7,99.31,,,,99.31,3.31
506,3.31,64.8,99.31,,,,99.3,3.31
507,3.31,64.8,99.3,,,,99.3,3.31
508,3.31,64.8,99.3,,,,99.3,3.31
509,3.31,65,99.3,,,,99.3,3.31
510,3.31,64.7,99.3,,,,99.3,3.31
511,3.31,64.6,99.3,,,,99.3,3.31
512,3.31,65.2,99.3,,,,99.3,3.31
513,3.31,64.5,99.3,,,,99.29,3.31
514,3.31,64.9,99.29,,,,99.29,3.31
515,3.31,65,99.29,,,,99.29,3.31
516,3.31,64.7,99.29,,,,99.29,3.31
517,3.31,64.8,99.29,,,,99.29,3.31
518,3.31,64.9,99.29,,,,99.29,3.31
519,3.31,64.8,99.29,,,,99.29,3.31
520,3.31,64.8,99.29,,,,99.28,3.31
521,3.31,65.1,99.28,,,,99.28,3.31
522,3.31,64.6,99.28,,,,99.28,3.31
523,3.31,65,99.28,,,,99.28,3.31
524,3.31,64.7,99.28,,,,99.28,3.31
525,3.31,64.7,99.28,,,,99.28,3.31
526,3.31,65,99.28,,,,99.28,3.31
527,3.31,65.2,99.28,,,,99.27,3.31
528,3.31,64.9,99.27,,,,99.27,3.31
529,3.31,65,99.27,,,,99.27,3.31
530,3.31,64.8,99.27,,,,99.27,3.31
531,3.31,64.9,99.27,,,,99.27,3.31
532,3.31,64.6,99.27,,,,99.27,3.31
533,3.3,64.5,99.27,,,,99.27,3.3
534,3.31,64.8,99.27,,,,99.27,3.31
535,3.31,65,99.27,,,,99.26,3.31
536,3.31,64.8,99.26,,,,99.26,3.31
537,3.31,64.9,99.26,,,,99.26,3.31
538,3.3,64.9,99.26,,,,99.26,3.3
539,3.3,65,99.26,,,,99.26,3.3
540,3.3,64.8,99.26,,,,99.26,3.3
541,3.3,64.8,99.26,,,,99.26,3.3
542,3.3,64.9,99.26,,,,99.25,3.3
543,3.3,64.7,99.25,,,,99.25,3.3
544,3.3,64.9,99.25,,,,99.25,3.3
545,3.3,65,99.25,,,,99.25,3.3
546,3.3,64.5,99.25,,,,99.25,3.3
547,3.3,64.9,99.25,,,,99.25,3.3
548,3.3,64.7,99.25,,,,99.25,3.3
549,3.3,64.8,99.25,,,,99.24,3.3
550,3.3,64.7,99.24,,,,99.24,3.3
551,3.3,64.9,99.24,,,,99.24,3.3
552,3.3,65,99.24,,,,99.24,3.3
553,3.3,65.1,99.24,,,,99.24,3.3
554,3.3,65,99.24,,,,99.24,3.3
555,3.3,64.7,99.24,,,,99.24,3.3
556,3.3,64.9,99.24,,,,99.23,3.3
557,3.3,64.7,99.23,,,,99.23,3.3
558,3.3,65,99.23,,,,99.23,3.3
559,3.3,64.9,99.23,,,,99.23,3.3
560,3.3,64.9,99.23,,,,99.23,3.3
561,3.3,64.8,99.23,,,,99.23,3.3
562,3.3,64.9,99.23,,,,99.23,3.3
